Tipster,Horse,Bet Type,Odds,Result,TipsterActive
Tipster A,Shannak,Win,2.75,Win,TRUE
Tipster A,Greyfriarschorista,Win,3.5,Lose,TRUE
Tipster A,Mala Beach,Win,9,Lose,TRUE
Tipster A,Gala Ball,Each Way,6,Win,TRUE
Tipster A,Keep In Line,Each Way,13,Lose,TRUE
Tipster A,Away For Slates,Each Way,5.5,Lose,TRUE
Tipster A,Shinyhappyjohn,Each Way,7,Lose,TRUE
Tipster A,Rose Angel,Win,3.25,Lose,TRUE
Tipster A,Bromyard,Win,2.5,Win,TRUE
Tipster A,Itsafreebee,Win,6,Win,TRUE
Tipster A,Virak,Each Way,6.5,Win,TRUE
Tipster A,Kyllach Me,Win,2.5,Lose,TRUE
Tipster A,Eiri Na Casca,Each Way,8,Lose,TRUE
Tipster A,Opening Batsman,Each Way,5.5,Lose,TRUE
Tipster A,Royal Marskell,Each Way,7.5,Lose,TRUE
Tipster A,Mappin Time,Win,3.5,Lose,TRUE
Tipster A,Ballybolley,Each Way,7.5,Win,TRUE
Tipster A,Exit Seven,Win,3.75,Lose,TRUE
Tipster A,Cartographic,Win,2.38,Lose,TRUE
Tipster A,Jaarih,Each Way,4.5,Win,TRUE
Tipster A,Driscough Boy,Win,5,Lose,TRUE
Tipster A,Divine,Each Way,5,Lose,TRUE
Tipster A,Bossy Guest,Each Way,13,Lose,TRUE
